ZCTA20,ZCTA_AREA20,TOT_POP_2020,COUNT_NTM_STOPS,STOPS_PER_CAPITA,STOPS_PER_SQMILE
01890,6.031693935,22760,49,2.152899742,8.123754501
01901,0.271253765,2370,19,8.016877174,70.04511261
01902,2.369786978,49472,111,2.243693352,46.83965302
01904,4.245861053,17928,108,6.024096489,25.43653679
01905,3.050075054,24369,106,4.349788666,34.75324249
01906,11.57819557,28334,133,4.694007397,11.48710918
01907,3.02292037,15468,91,5.883113384,30.10334015
01908,1.07579875,3512,33,9.396355629,30.67488289
01913,12.29210854,17474,38,2.174659491,3.091414213
01915,14.2087965,42062,87,2.068375349,6.12296772
01921,23.5945549,8316,0,0,0
01922,9.066366196,3758,0,0,0
01923,13.20521259,27367,13,0.47502467,0.984459758
01929,13.93729687,3771,0,0,0
01930,26.19781494,30291,6,0.198078632,0.229026735
01937,0.073055163,182,0,0,0
01938,32.10474777,14022,2,0.142633006,0.062296081
01940,10.07718754,13429,1,0.074465707,0.099234037
01944,9.229516983,5400,4,0.740740717,0.433392137
01945,4.429915428,20530,51,2.484169483,11.51263523
01949,13.44714069,9952,0,0,0
01950,8.350214005,18197,41,2.253118753,4.91005373
01951,14.30609417,3348,0,0,0
01952,15.37345505,9477,27,2.849002838,1.756273985
01960,16.01534462,52880,59,1.115733743,3.683966875
01965, , ,4, , 
01966,6.987690926,7269,2,0.275141001,0.28621757
01969,18.20070458,6375,2,0.313725501,0.109885857
01970,8.242460251,43120,117,2.713358164,14.19479084
01982,14.20162296,8048,0,0,0
01983,11.89853954,6613,0,0,0
01984,7.658798695,5208,2,0.38402459,0.261137545
01985,13.44724083,4688,0,0,0
02019,18.34301567,17196,12,0.697836697,0.654199958
02021,18.7461853,23615,29,1.228033066,1.546981454
02025,9.774344444,8520,2,0.234741777,0.204617307
02026,10.27047062,25316,41,1.619529128,3.992027283
02030,15.095994,6079,0,0,0
02032,2.338237047,4360,18,4.12844038,7.698107243
02035,19.85576439,17917,6,0.334877491,0.302179247
02038,26.63900185,33644,19,0.564736664,0.713239908
02043,22.17962837,23983,55,2.293291092,2.479753017
02045,2.673644781,10478,34,3.244894028,12.71672344
02047,0.576762497,156,0,0,0
02048,20.10399818,24145,6,0.248498648,0.298448086
02050,28.76034927,26109,11,0.421310663,0.382471025
02052,14.40928268,12926,0,0,0
02053,11.53669739,13398,4,0.298552036,0.346719682
02054,12.0327692,8288,0,0,0
02056,14.89771175,11861,6,0.505859554,0.402746409
02061,20.93146133,11120,0,0,0
02062,10.54916477,29446,56,1.901786327,5.308476925
02066,16.49683952,18511,16,0.864350915,0.969882727
02067,22.68527031,18653,4,0.214442715,0.176325873
02071,0.961901307,1230,0,0,0
02072,16.08604622,28742,2,0.069584578,0.124331363
02081,17.72605515,19850,16,0.806045353,0.902626097
02090,10.88977242,16229,18,1.109125614,1.65292716
02093,21.70641708,11930,4,0.33528918,0.184277296
02108,0.273870379,4520,15,3.318583965,54.77043533
02109,0.169576451,3639,11,3.022808552,64.86750031
02110,0.178883836,2340,14,5.982905865,78.26307678
02111,0.196005926,7949,12,1.509623885,61.22263718
02113,0.097322844,7339,0,0,0
02114,0.443411678,13260,14,1.055806994,31.57336807
02115,0.710700572,29134,44,1.510262966,61.91074371
02116,0.649396777,23007,31,1.347416043,47.73661041
02118,1.087679863,28892,73,2.526650906,67.11533356
02119,1.615176558,27426,107,3.90140748,66.24662781
02120,0.619018257,15210,25,1.643655539,40.38653183
02121,1.885660052,29570,93,3.145079374,49.31959915
02122,1.697368383,24874,81,3.256412268,47.72093201
02124,2.967804432,57128,131,2.293096304,44.14037323
02125,2.16792202,34725,87,2.505399466,40.13059616
02126,1.828321099,29807,69,2.31489253,37.7395401
02127,2.057686329,36941,121,3.275493383,58.8039093
02128,5.024732113,47804,93,1.945443869,18.50844955
02129,1.353655219,20504,61,2.97502923,45.0631752
02130,3.540374994,42021,93,2.213179112,26.26840401
02131,2.78764987,34048,117,3.436325073,41.97083664
02132,4.863968849,28263,187,6.616424084,38.44596863
02133, , ,0, , 
02134,1.234329224,19552,50,2.557283163,40.50783157
02135,2.59971571,45496,93,2.044135809,35.77314377
02136,4.598405361,36417,182,4.997665882,39.57893753
02138,2.738261938,39139,102,2.606096268,37.24990463
02139,1.551821351,39702,81,2.040199518,52.19673157
02140,1.158377886,20954,45,2.147561312,38.84742737
02141,0.608769596,14437,17,1.177529931,27.92517853
02142,0.313703358,4074,4,0.981836021,12.75089931
02143,1.544570446,25102,98,3.904071331,63.4480629
02144,1.091883421,25009,50,1.999280214,45.79243469
02145,1.390690923,28372,77,2.713943243,55.36816025
02148,5.04598093,60710,249,4.101466179,49.34620285
02149,3.419074774,46275,107,2.312263727,31.29501534
02150,2.214202166,39862,97,2.433395147,43.80810547
02151,5.705313683,53416,162,3.032799244,28.39458275
02152,1.657250881,18558,73,3.933613539,44.04885101
02155,8.18989563,60533,217,3.584821463,26.49606323
02163,0.183464542,2343,2,0.853606463,10.90128899
02169,12.09540367,56999,305,5.350971222,25.21619034
02170,2.084944248,19163,78,4.070343971,37.41107178
02171,2.452656031,18227,66,3.62100172,26.90960312
02176,4.683236599,28054,127,4.526983738,27.11799812
02180,5.978012562,23625,24,1.015873075,4.014712334
02184,13.76301765,37196,158,4.247768402,11.48004055
02186,13.69602013,27590,144,5.21928215,10.5140028
02188,3.861803532,16114,39,2.420255661,10.09890842
02189,4.00994873,15337,54,3.52089715,13.466506
02190,6.995854378,17466,13,0.744303227,1.858243346
