Park,Location,Zip Code,Park_Class
HARRISON (CARTER),1824 S WOOD ST,60608,REGIONAL PARK
"WICKER (CHARLES, JOEL)",1425 N DAMEN AVE,60622,COMMUNITY PARK
ARRIGO (VICTOR),1250 W LEXINGTON ST,60607,COMMUNITY PARK
ELM,5215 S WOODLAWN AVE,60615,PASSIVE PARK
DVORAK (ANTON),1119 W CULLERTON ST,60608,COMMUNITY PARK
PULASKI (CASIMER),1419 W BLACKHAWK ST,60622,COMMUNITY PARK
HUMBOLDT (BARON VON),1400 N HUMBOLDT DR,60622,CITYWIDE PARK
WEST PULLMAN,401 W 123RD ST,60628,REGIONAL PARK
MATHER (STEPHEN TYNG),5835 N LINCOLN AVE,60659,COMMUNITY PARK
SENN (NICHOLAS),5887 N RIDGE AVE,60660,COMMUNITY PARK
HORNER (HENRY),2741 W MONTROSE AVE,60618,REGIONAL PARK
HIAWATHA,8029 W FOREST PRESERVE AVE,60634,COMMUNITY PARK
PIOTROWSKI (LILLIAN),4200 W 31ST ST,60623,REGIONAL PARK
GRAPE,2850 W AVONDALE AVE,60618,MINI-PARK
ROSENBLUM (J. LESLIE),2000 E 75TH ST,60649,COMMUNITY PARK
ECKERSALL (WALTER HERBERT),2430 E 82ND ST,60617,NEIGHBORHOOD PARK
VITTUM (HARRIET ELIZABETH),5014 W 50TH ST,60638,COMMUNITY PARK
SPRUCE,1437 E 54TH ST,60615,NEIGHBORHOOD PARK
OAKDALE,965 W 95TH ST,60643,COMMUNITY PARK
ROBINSON (JACKIE),10540 S MORGAN ST,60643,REGIONAL PARK
OWENS (JESSE),2100 E 88TH ST,60617,COMMUNITY PARK
WENTWORTH (JOHN),5625 S MOBILE AVE,60638,REGIONAL PARK
DAWES (CHARLES),8040 S DAMEN AV,60620,COMMUNITY PARK
ROGERS (PHILLIP),7345 N WASHTENAW AVE,60645,REGIONAL PARK
HAYES (FRANCIS),2936 W 85TH ST,60652,REGIONAL PARK
LINDBLOM (ROBERT),6054 S DAMEN AVE,60636,REGIONAL PARK
GATELY (JAMES),810 E 103RD ST,60628,REGIONAL PARK
DUNHAM (ROBERT),4640 N MELVINA AVE,60630,COMMUNITY PARK
WEST LAWN,4233 W 65TH ST,60629,REGIONAL PARK
TOUHY (PATRICK),7348 N PAULINA ST,60626,COMMUNITY PARK
PASTEUR (LOUIS),5825 S KOSTNER AVE,60629,REGIONAL PARK
ROWAN (WILLIAM),11546 S AVENUE L,60617,REGIONAL PARK
WEST CHATHAM,8223 S PRINCETON AVE,60620,COMMUNITY PARK
ARCHER (WILLIAM BEATTY),4901 S KILBOURN AVE,60632,COMMUNITY PARK
EHRLER (WILLIAM),2230 W CORTLAND ST,60647,NEIGHBORHOOD PARK
MOUNT GREENWOOD,3724 W 111TH ST,60655,REGIONAL PARK
BEVERLY,2460 W 102ND ST,60655,COMMUNITY PARK
CARVER (GEORGE WASHINGTON),939 E 132ND ST,60627,REGIONAL PARK
MERRIMAC,6343 W IRVING PARK RD,60634,COMMUNITY PARK
WILDWOOD,6950 N HIAWATHA AVE,60646,COMMUNITY PARK
LINDEN,1139 N PULASKI RD,60651,NEIGHBORHOOD PARK
ABBOTT (ROBERT),49 E 95TH ST,60628,COMMUNITY PARK
KELLY (EDWARD),2725 W 41ST ST,60632,COMMUNITY PARK
WILLIAMS (DANIEL HALE),2820 S STATE ST,60616,COMMUNITY PARK
SCOTTSDALE,4620 W 83RD PL,60652,COMMUNITY PARK
STATEWAY,3658 S STATE ST,60609,COMMUNITY PARK
DUNBAR (PAUL LAURENCE),200 E 31ST ST,60616,REGIONAL PARK
ADDAMS (JANE),1301 W 14TH ST,60608,COMMUNITY PARK
LAKE MEADOWS,3113 S RHODES AVE,60616,COMMUNITY PARK
BOGAN (WILLIAM),3939 W 79TH ST,60652,REGIONAL PARK
TAYLOR (ROBERT ROCHON),100 W 47TH ST,60609,COMMUNITY PARK
SMITH (WENDELL),9912 S PRINCETON AVE,60628,NEIGHBORHOOD PARK
LERNER (LEO),7000 N SACRAMENTO AVE,60645,COMMUNITY PARK
AUSTIN FOSTER,6020 W FOSTER AVE,60630,NEIGHBORHOOD PARK
WENTWORTH (JOHN) GARDENS,3770 S WENTWORTH AVE,60609,COMMUNITY PARK
LEGION,3100 W BRYN MAWR AVE,60659,REGIONAL PARK
RONAN (GEORGE),3000 W ARGYLE ST,60625,LINEAR PARK
NICHOLS (JOHN FOUNTAIN),1342 E 54TH ST,60615,COMMUNITY PARK
"HOUSTON (JESSIE ""MA"")",5001 S COTTAGE GROVE AVE,60615,NEIGHBORHOOD PARK
GOLDEN GATE,500 E 130TH ST,60627,COMMUNITY PARK
BROWN (SIDNEY) MEML.,644 E 86TH ST,60619,COMMUNITY PARK
SOUTH LAKEVIEW,1300 W WOLFRAM ST,60657,NEIGHBORHOOD PARK
STOUT (FLORENCE),5446 S GREENWOOD AVE,60615,NEIGHBORHOOD PARK
COLEMAN (BESSIE),900 E 54TH PL,60615,MINI-PARK
CORNELL (PAUL),5473 S CORNELL AVE,60615,PASSIVE PARK
UNITY,2636 N KIMBALL AVE,60647,NEIGHBORHOOD PARK
HASAN (ELLIOT),6855 S OGLESBY AVE,60649,MINI-PARK
BARAGA (FREDERICK),2440 S LEAVITT ST,60608,MINI-PARK
DOOLEY (THOMAS),3426 W 77TH ST,60652,NEIGHBORHOOD PARK
HICKORY,4834 N WINTHROP AVE,60640,MINI-PARK
"SENKA (EDWARD ""DUKE"")",5656 S ST LOUIS AVE,60629,REGIONAL PARK
WOLCOTT (ALEXANDER),6551 S WOLCOTT AVE,60636,MINI-PARK
LE CLAIRE COURTS - HEARST COMM. CTR,5116 W 44TH ST,60638,COMMUNITY PARK
DUBKIN (LEONARD),7442 N ASHLAND Blvd,60626,PARKWAY PARK
