School Name,address,Zip Code
CICS - WASHINGTON PARK,110 E 61ST St,60637
CICS - WEST BELDEN,2245 N MCVICKER Ave,60639
CICS - WRIGHTWOOD,8130 S CALIFORNIA Ave,60652
CLAREMONT,2300 W 64TH St,60636
CLARK ES,1045 S MONITOR Ave,60644
CLARK HS,5101 W HARRISON St,60644
CLAY,13231 S BURLEY Ave,60633
CLEMENTE HS,1147 N WESTERN Ave,60622
CLEVELAND,3121 W BYRON St,60618
CLINTON,6110 N FAIRFIELD Ave,60659
CLISSOLD,2350 W 110TH Pl,60643
COLEMON,1441 W 119TH St,60643
COLES,8441 S YATES Blvd,60617
COLLINS STEAM HS,1313 S SACRAMENTO Dr,60623
COLUMBIA EXPLORERS,4520 S KEDZIE Ave,60632
COOK,8150 S BISHOP St,60620
COONLEY,4046 N LEAVITT St,60618
COOPER,1624 W 19TH St,60608
CORKERY,2510 S KILDARE Ave,60623
CORLISS HS,821 E 103RD St,60628
COURTENAY,4420 N BEACON St,60640
CRANE MEDICAL HS,2245 W JACKSON Blvd,60612
CROWN,2128 S SAINT LOUIS Ave,60623
CUFFE,8324 S RACINE Ave,60620
CULLEN,10650 S EBERHART Ave,60628
CURIE HS,4959 S ARCHER Ave,60632
CURTIS,32 E 115TH St,60628
DAISY BATES,8546 S CREGIER Ave,60617
DALEY,5024 S WOLCOTT Ave,60609
DARWIN,3116 W BELDEN Ave,60647
DAVIS M,6740 S PAULINA St,60636
DAVIS N,3014 W 39TH Pl,60632
DAWES,3810 W 81ST Pl,60652
DE DIEGO,1313 N CLAREMONT Ave,60622
DECATUR,7030 N SACRAMENTO Ave,60645
DENEEN,7240 S WABASH Ave,60619
DEPRIEST,139 S PARKSIDE Ave,60644
DETT,2131 W MONROE St,60612
DEVER,3436 N OSCEOLA Ave,60634
DEVRY HS,1900 W LAWRENCE Ave,60640
DEWEY,5415 S UNION Ave,60609
DIRKSEN,8601 W FOSTER Ave,60656
DISNEY,4140 N MARINE Dr,60613
DISNEY II ES,3815 N KEDVALE Ave,60641
DISNEY II HS,3900 N LAWNDALE Ave,60618
DIXON,8306 S SAINT LAWRENCE Ave,60619
DOOLITTLE,535 E 35TH St,60616
DORE,7134 W 65TH St,60638
DOUGLASS HS,543 N WALLER Ave,60644
DRAKE,2710 S DEARBORN St,60616
DRUMMOND,1845 W CORTLAND St,60622
DUBOIS,330 E 133RD St,60827
DULLES,6311 S CALUMET Ave,60637
DUNBAR HS,3000 S KING Dr,60616
DUNNE,10845 S UNION Ave,60628
DURKIN PARK,8445 S KOLIN Ave,60652
DVORAK,3615 W 16TH St,60623
DYETT ARTS HS,555 E 51ST,60615
EARHART,1710 E 93RD St,60617
